"Gif","FullGifPath","FrameCount","MaxAnchorDelta","MaxSoleDelta","MaxCenterDelta","MaxPixelDeltaPct","MaxBboxWidthDelta","MaxBboxHeightDelta","RiskScore","WorkDir"
"remada-baixa-sentada-animado-review-v2.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v2\remada-baixa-sentada-animado-review-v2.gif","13","0.48","0","2.28","2.52","4","3","51.03","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\remada-baixa-sentada-animado-review-v2\20260525-075723"
"russian-twist-animado-review-v2.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v2\russian-twist-animado-review-v2.gif","13","0.36","0","1.08","4.13","5","3","48.57","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\russian-twist-animado-review-v2\20260525-075723"
"dorsal-animado-review-v2.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v2\dorsal-animado-review-v2.gif","13","0.12","0","0.43","4.58","3","8","48.31","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\dorsal-animado-review-v2\20260525-075723"
"rosca-alternada-halter-animado-review-v2.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v2\rosca-alternada-halter-animado-review-v2.gif","13","0.57","0","1.61","1.6","6","2","45.85","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\rosca-alternada-halter-animado-review-v2\20260525-075723"
"triceps-na-corda-animado-review-v2.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v2\triceps-na-corda-animado-review-v2.gif","13","0.23","1","1.31","0.99","3","3","45.21","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\triceps-na-corda-animado-review-v2\20260525-075723"
"prancha-lateral-animado-review-v2.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v2\prancha-lateral-animado-review-v2.gif","13","0.25","0","1.46","1.78","4","2","45.18","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\prancha-lateral-animado-review-v2\20260525-075723"
"esteira-inclinada-leve-animado-review-v2.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v2\esteira-inclinada-leve-animado-review-v2.gif","13","2.02","0","4.54","1.98","1","0","38.03","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\esteira-inclinada-leve-animado-review-v2\20260525-075723"
"triceps-na-polia-push-down-animado-review-v2.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v2\triceps-na-polia-push-down-animado-review-v2.gif","13","0.5","0","0.7","4.69","2","3","37.79","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\triceps-na-polia-push-down-animado-review-v2\20260525-075723"
"eliptico-ou-bike-animado-review-v2.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v2\eliptico-ou-bike-animado-review-v2.gif","13","0.88","0","2.39","1.18","2","1","35.32","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\eliptico-ou-bike-animado-review-v2\20260525-075723"
"puxada-frontal-polia-alta-animado-review-v2.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v2\puxada-frontal-polia-alta-animado-review-v2.gif","13","0.67","0","2.62","1.5","3","1","35","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\puxada-frontal-polia-alta-animado-review-v2\20260525-075723"
"panturrilha-em-pe-halteres-animado-review-v2.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v2\panturrilha-em-pe-halteres-animado-review-v2.gif","13","0.79","0","2.43","0.92","0","3","32.6","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\panturrilha-em-pe-halteres-animado-review-v2\20260525-075723"
"remada-unilateral-halter-animado-review-v2.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v2\remada-unilateral-halter-animado-review-v2.gif","13","0.5","0","1.97","0.57","2","3","31.87","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\remada-unilateral-halter-animado-review-v2\20260525-075723"
"rosca-martelo-halteres-animado-review-v2.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v2\rosca-martelo-halteres-animado-review-v2.gif","13","0.5","0","0.21","0.75","2","0","22.14","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\rosca-martelo-halteres-animado-review-v2\20260525-075723"
"bike-ou-boxe-leve-animado-review-v2.gif","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\review-gifs-v2\bike-ou-boxe-leve-animado-review-v2.gif","13","0.6","0","1.14","1.41","0","1","15.9","C:\Users\aapc_\OneDrive\Documents\New project\tmp\rotina-ale-gif\diagnostics\bike-ou-boxe-leve-animado-review-v2\20260525-075723"
